Measure|Data Type|Template Id|Data Type Value Set|Data Type Value OID|Attribute
Exam130FHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|||diagnosis
Exam130FHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|||diagnosis.condition
Exam130FHIR.xml|Condition|http://hl7.org/fhir/StructureDefinition/Condition|Advanced Illness|https://www.ncqa.org/fhir/valueset/2.16.840.1.113883.3.464.1004.1465|code
Exam130FHIR.xml|MedicationRequest|http://hl7.org/fhir/StructureDefinition/MedicationRequest|Dementia Medications|https://www.ncqa.org/fhir/valueset/2.16.840.1.113883.3.464.1004.1729|medication
Exam130FHIR.xml|MedicationRequest|http://hl7.org/fhir/StructureDefinition/MedicationRequest|||status
Exam130FHIR.xml|MedicationRequest|http://hl7.org/fhir/StructureDefinition/MedicationRequest|||intent
Exam130FHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Outpatient|outpatient:MedicationRequestCategory|type
Exam130FHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Observation|https://www.ncqa.org/fhir/valueset/2.16.840.1.113883.3.464.1004.1191|type
Exam130FHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Emergency Department Visit|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.292|type
Exam130FHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Nonacute Inpatient|https://www.ncqa.org/fhir/valueset/2.16.840.1.113883.3.464.1004.1189|type
Exam130FHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Care Services in Long-Term Residential Facility|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.464.1003.101.12.1014|type
Exam130FHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Nursing Facility Visit|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.464.1003.101.12.1012|type
HybridHWMFHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Encounter Inpatient|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.666.5.307|type
HybridHWMFHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|||status
HybridHWMFHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|||period
HybridHWMFHIR.xml|Coverage|http://hl7.org/fhir/StructureDefinition/Coverage|Medicare payer|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1104.10|type
HybridHWMFHIR.xml|Coverage|http://hl7.org/fhir/StructureDefinition/Coverage|||period
HybridHWMFHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|||effective
HybridHWMFHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|final||status
HybridHWMFHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|amended||status
HybridHWMFHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|preliminary||status
HybridHWMFHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|||value
HybridHWMFHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|Heart rate|8867-4:LOINC:2.69|code
HybridHWMFHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|Systolic blood pressure|8480-6:LOINC:2.69|code
HybridHWMFHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|Body temperature|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1045.152|code
HybridHWMFHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|Oxygen saturation in Arterial blood by Pulse oximetry|59408-5:LOINC:2.69|code
HybridHWMFHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|||issued
HybridHWMFHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|final||value
HybridHWMFHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|Hematocrit lab test|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1045.114|code
HybridHWMFHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|Platelet count lab test|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1045.127|code
HybridHWMFHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|White blood cells count lab test|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1045.129|code
HybridHWMFHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|Sodium lab test|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1045.119|code
HybridHWMFHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|Bicarbonate lab test|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1045.139|code
HybridHWMFHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|Creatinine lab test|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.666.5.2363|code
HybridHWMFHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Observation Services|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1111.143|type
HybridHWMFHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Emergency Department Visit|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.292|type
HybridHWMFHIR.xml|Coverage|http://hl7.org/fhir/StructureDefinition/Coverage|Payer|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.114222.4.11.3591|type
DiabetesHemoglobinA1cHbA1cPoorControl9FHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Telephone Visits|https://www.ncqa.org/fhir/valueset/2.16.840.1.113883.3.464.1004.1246|type
DiabetesHemoglobinA1cHbA1cPoorControl9FHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|||status
DiabetesHemoglobinA1cHbA1cPoorControl9FHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|||period
DiabetesHemoglobinA1cHbA1cPoorControl9FHIR.xml|Condition|http://hl7.org/fhir/StructureDefinition/Condition|Diabetes|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.464.1003.103.12.1001|code
DiabetesHemoglobinA1cHbA1cPoorControl9FHIR.xml|Condition|http://hl7.org/fhir/StructureDefinition/Condition|active|active:ConditionClinicalStatusCodes|clinicalStatus
DiabetesHemoglobinA1cHbA1cPoorControl9FHIR.xml|Condition|http://hl7.org/fhir/StructureDefinition/Condition|recurrence|recurrence:ConditionClinicalStatusCodes|clinicalStatus
DiabetesHemoglobinA1cHbA1cPoorControl9FHIR.xml|Condition|http://hl7.org/fhir/StructureDefinition/Condition|relapse|relapse:ConditionClinicalStatusCodes|clinicalStatus
DiabetesHemoglobinA1cHbA1cPoorControl9FHIR.xml|Condition|http://hl7.org/fhir/StructureDefinition/Condition|||onset
DiabetesHemoglobinA1cHbA1cPoorControl9FHIR.xml|Condition|http://hl7.org/fhir/StructureDefinition/Condition|||abatement
DiabetesHemoglobinA1cHbA1cPoorControl9FHIR.xml|Condition|http://hl7.org/fhir/StructureDefinition/Condition|||recordedDate
DiabetesHemoglobinA1cHbA1cPoorControl9FHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|HbA1c Laboratory Test|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.464.1003.198.12.1013|code
DiabetesHemoglobinA1cHbA1cPoorControl9FHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|final||status
DiabetesHemoglobinA1cHbA1cPoorControl9FHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|amended||status
DiabetesHemoglobinA1cHbA1cPoorControl9FHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|corrected||status
DiabetesHemoglobinA1cHbA1cPoorControl9FHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|||effective
DiabetesHemoglobinA1cHbA1cPoorControl9FHIR.xml|Coverage|http://hl7.org/fhir/StructureDefinition/Coverage|Payer|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.114222.4.11.3591|type
DiabetesHemoglobinA1cHbA1cPoorControl9FHIR.xml|Coverage|http://hl7.org/fhir/StructureDefinition/Coverage|||period
DiabetesHemoglobinA1cHbA1cPoorControl9FHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Office Visit|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.464.1003.101.12.1001|type
DiabetesHemoglobinA1cHbA1cPoorControl9FHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Annual Wellness Visit|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.526.3.1240|type
DiabetesHemoglobinA1cHbA1cPoorControl9FHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Preventive Care Services - Established Office Visit, 18 and Up|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.464.1003.101.12.1025|type
DiabetesHemoglobinA1cHbA1cPoorControl9FHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Preventive Care Services-Initial Office Visit, 18 and Up|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.464.1003.101.12.1023|type
DiabetesHemoglobinA1cHbA1cPoorControl9FHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Home Healthcare Services|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.464.1003.101.12.1016|type
DiabetesHemoglobinA1cHbA1cPoorControl9FHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Encounter Inpatient|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.666.5.307|type
DiabetesHemoglobinA1cHbA1cPoorControl9FHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Discharge to home for hospice care (procedure)|428361000124107:SNOMEDCT:2017-09|hospitalization
DiabetesHemoglobinA1cHbA1cPoorControl9FHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Discharge to healthcare facility for hospice care (procedure)|428371000124100:SNOMEDCT:2017-09|hospitalization
DiabetesHemoglobinA1cHbA1cPoorControl9FHIR.xml|ServiceRequest|http://hl7.org/fhir/StructureDefinition/ServiceRequest|Hospice care ambulatory|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1108.15|code
DiabetesHemoglobinA1cHbA1cPoorControl9FHIR.xml|ServiceRequest|http://hl7.org/fhir/StructureDefinition/ServiceRequest|active||status
DiabetesHemoglobinA1cHbA1cPoorControl9FHIR.xml|ServiceRequest|http://hl7.org/fhir/StructureDefinition/ServiceRequest|completed||status
DiabetesHemoglobinA1cHbA1cPoorControl9FHIR.xml|ServiceRequest|http://hl7.org/fhir/StructureDefinition/ServiceRequest|||intent
DiabetesHemoglobinA1cHbA1cPoorControl9FHIR.xml|ServiceRequest|http://hl7.org/fhir/StructureDefinition/ServiceRequest|||authoredOn
DiabetesHemoglobinA1cHbA1cPoorControl9FHIR.xml|Procedure|http://hl7.org/fhir/StructureDefinition/Procedure|Hospice care ambulatory|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1108.15|code
DiabetesHemoglobinA1cHbA1cPoorControl9FHIR.xml|Procedure|http://hl7.org/fhir/StructureDefinition/Procedure|||status
DiabetesHemoglobinA1cHbA1cPoorControl9FHIR.xml|Procedure|http://hl7.org/fhir/StructureDefinition/Procedure|||performed
DiabetesHemoglobinA1cHbA1cPoorControl9FHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|Functional Assessment of Chronic Illness Therapy - Palliative Care Questionnaire (FACIT-Pal)|71007-9:LOINC|code
DiabetesHemoglobinA1cHbA1cPoorControl9FHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|||category
DiabetesHemoglobinA1cHbA1cPoorControl9FHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Palliative Care Encounter|https://www.ncqa.org/fhir/valueset/2.16.840.1.113883.3.464.1004.1450|type
DiabetesHemoglobinA1cHbA1cPoorControl9FHIR.xml|Procedure|http://hl7.org/fhir/StructureDefinition/Procedure|Palliative Care Intervention|https://www.ncqa.org/fhir/valueset/2.16.840.1.113883.3.464.1004.2224|code
DiabetesHemoglobinA1cHbA1cPoorControl9FHIR.xml|Procedure|http://hl7.org/fhir/StructureDefinition/Procedure|completed||status
DiabetesHemoglobinA1cHbA1cPoorControl9FHIR.xml|Procedure|http://hl7.org/fhir/StructureDefinition/Procedure|in-progress||status
DiabetesHemoglobinA1cHbA1cPoorControl9FHIR.xml|DeviceRequest|http://hl7.org/fhir/StructureDefinition/DeviceRequest|Frailty Device|https://www.ncqa.org/fhir/valueset/2.16.840.1.113883.3.464.1004.1530|code
DiabetesHemoglobinA1cHbA1cPoorControl9FHIR.xml|DeviceRequest|http://hl7.org/fhir/StructureDefinition/DeviceRequest|active||status
DiabetesHemoglobinA1cHbA1cPoorControl9FHIR.xml|DeviceRequest|http://hl7.org/fhir/StructureDefinition/DeviceRequest|on-hold||status
DiabetesHemoglobinA1cHbA1cPoorControl9FHIR.xml|DeviceRequest|http://hl7.org/fhir/StructureDefinition/DeviceRequest|completed||status
DiabetesHemoglobinA1cHbA1cPoorControl9FHIR.xml|DeviceRequest|http://hl7.org/fhir/StructureDefinition/DeviceRequest|||intent
DiabetesHemoglobinA1cHbA1cPoorControl9FHIR.xml|DeviceRequest|http://hl7.org/fhir/StructureDefinition/DeviceRequest|||authoredOn
DiabetesHemoglobinA1cHbA1cPoorControl9FHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|Frailty Device|https://www.ncqa.org/fhir/valueset/2.16.840.1.113883.3.464.1004.1530|code
DiabetesHemoglobinA1cHbA1cPoorControl9FHIR.xml|Condition|http://hl7.org/fhir/StructureDefinition/Condition|Frailty Diagnosis|https://www.ncqa.org/fhir/valueset/2.16.840.1.113883.3.464.1004.1531|code
DiabetesHemoglobinA1cHbA1cPoorControl9FHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Frailty Encounter|https://www.ncqa.org/fhir/valueset/2.16.840.1.113883.3.464.1004.1532|type
DiabetesHemoglobinA1cHbA1cPoorControl9FHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|Frailty Symptom|https://www.ncqa.org/fhir/valueset/2.16.840.1.113883.3.464.1004.1533|code
DiabetesHemoglobinA1cHbA1cPoorControl9FHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|preliminary||status
DiabetesHemoglobinA1cHbA1cPoorControl9FHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Acute Inpatient|https://www.ncqa.org/fhir/valueset/2.16.840.1.113883.3.464.1004.1810|type
DiabetesHemoglobinA1cHbA1cPoorControl9FHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|||diagnosis
DiabetesHemoglobinA1cHbA1cPoorControl9FHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|||diagnosis.condition
DiabetesHemoglobinA1cHbA1cPoorControl9FHIR.xml|Condition|http://hl7.org/fhir/StructureDefinition/Condition|Advanced Illness|https://www.ncqa.org/fhir/valueset/2.16.840.1.113883.3.464.1004.1465|code
DiabetesHemoglobinA1cHbA1cPoorControl9FHIR.xml|MedicationRequest|http://hl7.org/fhir/StructureDefinition/MedicationRequest|Dementia Medications|https://www.ncqa.org/fhir/valueset/2.16.840.1.113883.3.464.1004.1729|medication
DiabetesHemoglobinA1cHbA1cPoorControl9FHIR.xml|MedicationRequest|http://hl7.org/fhir/StructureDefinition/MedicationRequest|||status
DiabetesHemoglobinA1cHbA1cPoorControl9FHIR.xml|MedicationRequest|http://hl7.org/fhir/StructureDefinition/MedicationRequest|||intent
DiabetesHemoglobinA1cHbA1cPoorControl9FHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Outpatient|outpatient:MedicationRequestCategory|type
DiabetesHemoglobinA1cHbA1cPoorControl9FHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Observation|https://www.ncqa.org/fhir/valueset/2.16.840.1.113883.3.464.1004.1191|type
DiabetesHemoglobinA1cHbA1cPoorControl9FHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Emergency Department Visit|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.292|type
DiabetesHemoglobinA1cHbA1cPoorControl9FHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Nonacute Inpatient|https://www.ncqa.org/fhir/valueset/2.16.840.1.113883.3.464.1004.1189|type
DiabetesHemoglobinA1cHbA1cPoorControl9FHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Care Services in Long-Term Residential Facility|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.464.1003.101.12.1014|type
DiabetesHemoglobinA1cHbA1cPoorControl9FHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Nursing Facility Visit|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.464.1003.101.12.1012|type
BCSEHEDISMY2022.xml|Coverage|http://hl7.org/fhir/StructureDefinition/Coverage|||period
BCSEHEDISMY2022.xml|Condition|http://hl7.org/fhir/StructureDefinition/Condition|Absence of Right Breast|https://www.ncqa.org/fhir/valueset/2.16.840.1.113883.3.464.1004.1330|code
BCSEHEDISMY2022.xml|Condition|http://hl7.org/fhir/StructureDefinition/Condition|||clinicalStatus
BCSEHEDISMY2022.xml|Condition|http://hl7.org/fhir/StructureDefinition/Condition|||onset
BCSEHEDISMY2022.xml|Condition|http://hl7.org/fhir/StructureDefinition/Condition|||abatement
BCSEHEDISMY2022.xml|Procedure|http://hl7.org/fhir/StructureDefinition/Procedure|Unilateral Mastectomy Right|https://www.ncqa.org/fhir/valueset/2.16.840.1.113883.3.464.1004.1335|code
BCSEHEDISMY2022.xml|Procedure|http://hl7.org/fhir/StructureDefinition/Procedure|||performed
BCSEHEDISMY2022.xml|Procedure|http://hl7.org/fhir/StructureDefinition/Procedure|||status
BCSEHEDISMY2022.xml|Procedure|http://hl7.org/fhir/StructureDefinition/Procedure|Unilateral Mastectomy|https://www.ncqa.org/fhir/valueset/2.16.840.1.113883.3.464.1004.1256|code
